PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30922926","Time lapse: A glimpse into prehistoric genomics","Griffin DK, Larkin DM, O'Connor RE.","Eur J Med Genet. 2020 Feb;63(2):103640. doi: 10.1016/j.ejmg.2019.03.004. Epub 2019 Mar 25.","Griffin DK","Eur J Med Genet","2020","2019/03/30","PMC7026692","","10.1016/j.ejmg.2019.03.004"
"37068225","Symbiosis between Cretaceous dinosaurs and feather-feeding beetles","Peñalver E, Peris D, Álvarez-Parra S, Grimaldi DA, Arillo A, Chiappe L, Delclòs X, Alcalá L, Sanz JL, Solórzano-Kraemer MM, Pérez-de la Fuente R.","Proc Natl Acad Sci U S A. 2023 Apr 25;120(17):e2217872120. doi: 10.1073/pnas.2217872120. Epub 2023 Apr 17.","Peñalver E","Proc Natl Acad Sci U S A","2023","2023/04/17","PMC10151472","","10.1073/pnas.2217872120"
"36448670","Spinosaurus is not an aquatic dinosaur","Sereno PC, Myhrvold N, Henderson DM, Fish FE, Vidal D, Baumgart SL, Keillor TM, Formoso KK, Conroy LL.","Elife. 2022 Nov 30;11:e80092. doi: 10.7554/eLife.80092.","Sereno PC","Elife","2022","2022/11/30","PMC9711522","","10.7554/eLife.80092"
"26754250","On the probability of dinosaur fleas","Dittmar K, Zhu Q, Hastriter MW, Whiting MF.","BMC Evol Biol. 2016 Jan 11;16:9. doi: 10.1186/s12862-015-0568-x.","Dittmar K","BMC Evol Biol","2016","2016/01/13","PMC4710018","","10.1186/s12862-015-0568-x"
"21251189","Biology of the sauropod dinosaurs: the evolution of gigantism","Sander PM, Christian A, Clauss M, Fechner R, Gee CT, Griebeler EM, Gunga HC, Hummel J, Mallison H, Perry SF, Preuschoft H, Rauhut OW, Remes K, Tütken T, Wings O, Witzel U.","Biol Rev Camb Philos Soc. 2011 Feb;86(1):117-55. doi: 10.1111/j.1469-185X.2010.00137.x.","Sander PM","Biol Rev Camb Philos Soc","2011","2011/01/22","PMC3045712","","10.1111/j.1469-185X.2010.00137.x"
"35962036","The exquisitely preserved integument of Psittacosaurus and the scaly skin of ceratopsian dinosaurs","Bell PR, Hendrickx C, Pittman M, Kaye TG, Mayr G.","Commun Biol. 2022 Aug 12;5(1):809. doi: 10.1038/s42003-022-03749-3.","Bell PR","Commun Biol","2022","2022/08/12","PMC9374759","","10.1038/s42003-022-03749-3"
"37464026","An extraordinary fossil captures the struggle for existence during the Mesozoic","Han G, Mallon JC, Lussier AJ, Wu XC, Mitchell R, Li LJ.","Sci Rep. 2023 Jul 18;13(1):11221. doi: 10.1038/s41598-023-37545-8.","Han G","Sci Rep","2023","2023/07/18","PMC10354204","","10.1038/s41598-023-37545-8"
"33990610","Niche partitioning shaped herbivore macroevolution through the early Mesozoic","Singh SA, Elsler A, Stubbs TL, Bond R, Rayfield EJ, Benton MJ.","Nat Commun. 2021 May 14;12(1):2796. doi: 10.1038/s41467-021-23169-x.","Singh SA","Nat Commun","2021","2021/05/15","PMC8121902","","10.1038/s41467-021-23169-x"
"35444275","Pterosaur melanosomes support signalling functions for early feathers","Cincotta A, Nicolaï M, Campos HBN, McNamara M, D'Alba L, Shawkey MD, Kischlat EE, Yans J, Carleer R, Escuillié F, Godefroit P.","Nature. 2022 Apr;604(7907):684-688. doi: 10.1038/s41586-022-04622-3. Epub 2022 Apr 20.","Cincotta A","Nature","2022","2022/04/21","PMC9046085","","10.1038/s41586-022-04622-3"
"36122246","Low dinosaur biodiversity in central China 2 million years prior to the end-Cretaceous mass extinction","Han F, Wang Q, Wang H, Zhu X, Zhou X, Wang Z, Fang K, Stidham TA, Wang W, Wang X, Li X, Qin H, Fan L, Wen C, Luo J, Pan Y, Deng C.","Proc Natl Acad Sci U S A. 2022 Sep 27;119(39):e2211234119. doi: 10.1073/pnas.2211234119. Epub 2022 Sep 19.","Han F","Proc Natl Acad Sci U S A","2022","2022/09/19","PMC9522366","","10.1073/pnas.2211234119"
