"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YVC6GC78","journalArticle","2024","Yang, Z.; Jiang, B.; Xu, J.; McNamara, M.E.","Cellular structure of dinosaur scales reveals retention of reptile-type skin during the evolutionary transition to feathers","Nature Communications","","2041-1723","10.1038/s41467-024-48400-3","https://www.embase.com/search/results?subaction=viewrecord&id=L2029880245&from=export","Fossil feathers have transformed our understanding of integumentary evolution in vertebrates. The evolution of feathers is associated with novel skin ultrastructures, but the fossil record of these changes is poor and thus the critical transition from scaled to feathered skin is poorly understood. Here we shed light on this issue using preserved skin in the non-avian feathered dinosaur Psittacosaurus. Skin in the non-feathered, scaled torso is three-dimensionally replicated in silica and preserves epidermal layers, corneocytes and melanosomes. The morphology of the preserved stratum corneum is consistent with an original composition rich in corneous beta proteins, rather than (alpha-) keratins as in the feathered skin of birds. The stratum corneum is relatively thin in the ventral torso compared to extant quadrupedal reptiles, reflecting a reduced demand for mechanical protection in an elevated bipedal stance. The distribution of the melanosomes in the fossil skin is consistent with melanin-based colouration in extant crocodilians. Collectively, the fossil evidence supports partitioning of skin development in Psittacosaurus: a reptile-type condition in non-feathered regions and an avian-like condition in feathered regions. Retention of reptile-type skin in non-feathered regions would have ensured essential skin functions during the early, experimental stages of feather evolution.","2024","2024-08-15 08:09:33","2024-08-15 08:09:33","","","","1","15","","Nat. Commun.","","","","","","","","English","","","Embase","","","","","","","http://dx.doi.org/10.1038/s41467-024-48400-3","article; controlled study; animal tissue; nonhuman; cell structure; standing; chemical composition; ultrastructure; stratum corneum; animal scales; dinosaur; epidermis; evolution; feather; fossil; keratin; melanin; melanosome; Psittacosaurus; skin cell; skin color; skin culture; skin structure; taphonomy; trunk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASPS4S2N","journalArticle","2024","Troiano, L.P.; Dos Santos, H.B.; Aureliano, T.; Ghilardi, A.M.","Erratum: Author Correction: A remarkable assemblage of petroglyphs and dinosaur footprints in Northeast Brazil (Scientific reports (2024) 14 1 DOI: 10.1038/s41598-024-56479-3)","Scientific reports","","2045-2322","10.1038/s41598-024-65283-y","https://www.embase.com/search/results?subaction=viewrecord&id=L644585435&from=export","","2024","2024-08-15 08:09:33","2024-08-15 08:09:33","","14316","","1","14","","Sci Rep","","","","","","","","English","","","Medline","","","","","","","http://dx.doi.org/10.1038/s41598-024-65283-y","article; human; nonhuman; diagnosis; dinosaur; Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Y9ZS4GL","journalArticle","2024","Pol, D.; Baiano, M.A.; Černý, D.; Novas, F.E.; Cerda, I.A.; Pittman, M.","A new abelisaurid dinosaur from the end Cretaceous of Patagonia and evolutionary rates among the Ceratosauria","Cladistics : the international journal of the Willi Hennig Society","","1096-0031","10.1111/cla.12583","https://www.embase.com/search/results?subaction=viewrecord&id=L644327397&from=export","Gondwanan dinosaur faunae during the 20 Myr preceding the Cretaceous-Palaeogene (K/Pg) extinction included several lineages that were absent or poorly represented in Laurasian landmasses. Among these, the South American fossil record contains diverse abelisaurids, arguably the most successful groups of carnivorous dinosaurs from Gondwana in the Cretaceous, reaching their highest diversity towards the end of this period. Here we describe Koleken inakayali gen. et sp. n., a new abelisaurid from the La Colonia Formation (Maastrichtian, Upper Cretaceous) of Patagonia. Koleken inakayali is known from several skull bones, an almost complete dorsal series, complete sacrum, several caudal vertebrae, pelvic girdle and almost complete hind limbs. The new abelisaurid shows a unique set of features in the skull and several anatomical differences from Carnotaurus sastrei (the only other abelisaurid known from the La Colonia Formation). Koleken inakayali is retrieved as a brachyrostran abelisaurid, clustered with other South American abelisaurids from the latest Cretaceous (Campanian-Maastrichtian), such as Aucasaurus, Niebla and Carnotaurus. Leveraging our phylogeny estimates, we explore rates of morphological evolution across ceratosaurian lineages, finding them to be particularly high for elaphrosaurine noasaurids and around the base of Abelisauridae, before the Early Cretaceous radiation of the latter clade. The Noasauridae and their sister clade show contrasting patterns of morphological evolution, with noasaurids undergoing an early phase of accelerated evolution of the axial and hind limb skeleton in the Jurassic, and the abelisaurids exhibiting sustained high rates of cranial evolution during the Early Cretaceous. These results provide much needed context for the evolutionary dynamics of ceratosaurian theropods, contributing to broader understanding of macroevolutionary patterns across dinosaurs.","2024","2024-08-15 08:09:33","2024-08-15 08:09:33","","307-356","","3","40","","Cladistics","","","","","","","","English","","","Medline","","","","","","","http://dx.doi.org/10.1111/cla.12583","phylogeny; animal; classification; skull; dinosaur; evolution; fossil; Argentina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALCI4FBJ","journalArticle","2024","Troiano, L.P.; Dos Santos, H.B.; Aureliano, T.; Ghilardi, A.M.","A remarkable assemblage of petroglyphs and dinosaur footprints in Northeast Brazil","Scientific reports","","2045-2322","10.1038/s41598-024-56479-3","https://www.embase.com/search/results?subaction=viewrecord&id=L643801355&from=export","The Serrote do Letreiro Site, found on the northwest periphery of the Sousa Basin, Brazil, presents a remarkable convergence of paleontological and archaeological elements. It is constituted of sub-horizontal ""lajeiros"", or rock outcrops, intermingled with endemic Caatinga vegetation. The three prominent outcrops feature fossilized footprints of theropod, sauropod, and iguanodontian dinosaurs from the Early Cretaceous Period. Adjacent to these dinosaur tracks, indigenous petroglyphs adorn the surface. The petroglyphs, mainly characterized by circular motifs, maintain a striking resemblance to other petroglyphs found in the states of Paraíba and Rio Grande do Norte. This study primarily endeavors to delineate the site's major characteristics while concentrating on the relationship between the dinosaur footprints and the petroglyphs. It concurrently assesses the preservation status of this invaluable record, shedding light on its implications for the realms of paleontology, archaeology, and cultural heritage studies.","2024","2024-08-15 08:09:33","2024-08-15 08:09:33","","6528","","1","14","","Sci Rep","","","","","","","","English","","","Medline","","","","","","","http://dx.doi.org/10.1038/s41598-024-56479-3","animal; dinosaur; fossil; Brazil; archeology; paleontology; toothed whale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACNL49GC","journalArticle","2024","Brownstein, C.D.","Erratum: Correction: A juvenile bird with possible crown-group affinities from a dinosaur-rich Cretaceous ecosystem in North America (BMC ecology and evolution (2024) 24 1 (20))","BMC ecology and evolution","","2730-7182","10.1186/s12862-024-02216-3","https://www.embase.com/search/results?subaction=viewrecord&id=L643752320&from=export","","2024","2024-08-15 08:09:33","2024-08-15 08:09:33","","32","","1","24","","BMC Ecol Evol","","","","","","","","English","","","Medline","","","","","","","http://dx.doi.org/10.1186/s12862-024-02216-3","controlled study; nonhuman; drug therapy; North America; dinosaur; evolution; chick; Cretaceous; ecology; ecosystem; erratum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHQYNXFH","journalArticle","2024","Fawcett, M.J.; Lautenschlager, S.; Bestwick, J.; Butler, R.J.","Functional morphology of the Triassic apex predator Saurosuchus galilei (Pseudosuchia: Loricata) and convergence with a post-Triassic theropod dinosaur","Anatomical Record","","1932-8494","10.1002/ar.25299","https://www.embase.com/search/results?subaction=viewrecord&id=L2024893804&from=export","Pseudosuchian archosaurs, reptiles more closely related to crocodylians than to birds, exhibited high morphological diversity during the Triassic and are thus associated with hypotheses of high ecological diversity during this time. One example involves basal loricatans which are non-crocodylomorph pseudosuchians traditionally known as “rauisuchians.” Their large size (5–8+ m long) and morphological similarities to post-Triassic theropod dinosaurs, including dorsoventrally deep skulls and serrated dentitions, suggest basal loricatans were apex predators. However, this hypothesis does not consider functional behaviors that can influence more refined roles of predators in their environment, for example, degree of carcass utilization. Here, we apply finite element analysis to a juvenile but three-dimensionally well-preserved cranium of the basal loricatan Saurosuchus galilei to investigate its functional morphology and to compare with stress distributions from the theropod Allosaurus fragilis to assess degrees of functional convergence between Triassic and post-Triassic carnivores. We find similar stress distributions and magnitudes between the two study taxa under the same functional simulations, indicating that Saurosuchus had a somewhat strong skull and thus exhibited some degree of functional convergence with theropods. However, Saurosuchus also had a weak bite for an animal of its size (1015–1885 N) that is broadly equivalent to the bite force of modern gharials (Gavialis gangeticus). We infer that Saurosuchus potentially avoided tooth–bone interactions and consumed the softer parts of carcasses, unlike theropods and other basal loricatans. This deduced feeding mode for Saurosuchus increases the known functional diversity of basal loricatans and highlights functional differences between Triassic and post-Triassic apex predators.","2024","2024-08-15 08:09:33","2024-08-15 08:09:33","","549-565","","3","307","","Anat. Rec.","","","","","","","","English","","","Embase","","","","","","","http://dx.doi.org/10.1002/ar.25299","article; nonhuman; simulation; juvenile; feeding; skull; physiological stress; mastication; finite element analysis; dinosaur; carcass; carnivore; functional diversity; functional morphology; Gavialis gangeticus; predator; tooth; Triassic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSAXHGDD","journalArticle","2024","Longrich, N.R.; Pereda-Suberbiola, X.; Bardet, N.; Jalil, N.-E.","A new small duckbilled dinosaur (Hadrosauridae: Lambeosaurinae) from Morocco and dinosaur diversity in the late Maastrichtian of North Africa","Scientific reports","","2045-2322","10.1038/s41598-024-53447-9","https://www.embase.com/search/results?subaction=viewrecord&id=L643502584&from=export","In the Late Cretaceous, northern and southern hemispheres evolved distinct dinosaurian faunas. Titanosaurians and abelisaurids dominated the Gondwanan continents; hadrosaurids, ceratopsians and tyrannosaurs dominated North America and Asia. Recently, a lambeosaurine hadrosaurid, Ajnabia odysseus, was reported from the late Maastrichtian phosphates of the Oulad Abdoun Basin Morocco, suggesting dispersal between Laurasia and Gondwana. Here we report new fossils from the phosphates of Morocco showing lambeosaurines achieved high diversity in the late Maastrichtian of North Africa. A skull represents a new dwarf lambeosaurine, Minqaria bata. Minqaria resembles Ajnabia odysseus in size, but differs in the ventrally positioned jugal facet and sinusoidal toothrow. The animal is small, ~ 3.5 m long, but the fused braincase shows it was mature. A humerus and a femur belong to larger hadrosaurids, ~ 6 m long, implying at least three species coexisted. The diversity of hadrosaurids in Europe and Africa suggests a dispersal-driven radiation, with lambeosaurines diversifying to take advantage of low ornithischian diversity. African lambeosaurines are small compared to North American and Asia hadrosaurids however, perhaps due to competition with titanosaurians. Hadrosaurids are unknown from eastern Africa, suggesting Moroccan hadrosaurids may be part of a distinct insular fauna, and represent an island radiation.","2024","2024-08-15 08:09:33","2024-08-15 08:09:33","","3665","","1","14","","Sci Rep","","","","","","","","English","","","Medline","","","","","","","http://dx.doi.org/10.1038/s41598-024-53447-9","phylogeny; animal; phosphate; skull; dinosaur; fossil; Africa; Morocco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASNJ824T","journalArticle","2024","Brownstein, C.D.","A juvenile bird with possible crown-group affinities from a dinosaur-rich Cretaceous ecosystem in North America","BMC ecology and evolution","","2730-7182","10.1186/s12862-024-02210-9","https://www.embase.com/search/results?subaction=viewrecord&id=L643474277&from=export","BACKGROUND: Living birds comprise the most speciose and anatomically diverse clade of flying vertebrates, but their poor early fossil record and the lack of resolution around the relationships of the major clades have greatly obscured extant avian origins. RESULTS: Here, I describe a Late Cretaceous bird from North America based on a fragmentary skeleton that includes cranial material and portions of the forelimb, hindlimb, and foot and is identified as a juvenile based on bone surface texture. Several features unite this specimen with crown Aves, but its juvenile status precludes the recognition of a distinct taxon. The North American provenance of the specimen supports a cosmopolitan distribution of early crown birds, clashes with the hypothesized southern hemisphere origins of living birds, and demonstrates that crown birds and their closest relatives coexisted with non-avian dinosaurs that independently converged on avian skeletal anatomy, such as the alvarezsaurids and dromaeosaurids. CONCLUSIONS: By revealing the ecological and biogeographic context of Cretaceous birds within or near the crown clade, the Lance Formation specimen provides new insights into the contingent nature of crown avian survival through the Cretaceous-Paleogene mass extinction and the subsequent origins of living bird diversity.","2024","2024-08-15 08:09:33","2024-08-15 08:09:33","","20","","1","24","","BMC Ecol Evol","","","","","","","","English","","","Medline","","","","","","","http://dx.doi.org/10.1186/s12862-024-02210-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FGHZZ8J","journalArticle","2024","Eberth, D.A.","Stratigraphic architecture of the Belly River Group (Campanian, Cretaceous) in the plains of southern Alberta: Revisions and updates to an existing model and implications for correlating dinosaur-rich strata","PLoS ONE","","1932-6203","10.1371/journal.pone.0292318","https://www.embase.com/search/results?subaction=viewrecord&id=L2030030568&from=export","The Upper Cretaceous (Campanian) Belly River Group (BRG) of southern Alberta has a complex internal stratigraphic architecture derived from differential geometries of its component formations that resulted from regionalized tectonic influences and shifting source areas. A full understanding of BRG architecture has been compromised heretofore by a limited understanding of subsurface data in southwestern- and southeastern-most Alberta. In this study outcrop exposures throughout southern Alberta are tied to reference well logs and subsurface cross-sections allowing a more precise understanding of BRG architecture and how it relates to well-known vertebrate fossil producing areas. Modifications to an existing stratigraphic model of the BRG show that the Oldman and the Dinosaur Park formations have reciprocal north-to-south wedge-shaped geometries and a diachronous contact that become prominently expressed south of Twp 12. The updated model also demonstrates that the Oldman Formation thickens stratigraphically up-section to the south, and that the Foremost-Oldman contact is, essentially, a datum across much of southern Alberta. Identification of the Oldman Formation in the subsurface remains based on its relatively high gamma-ray response in mudstone successions, but it is also recognized that many of its sandstones exhibit relatively low gamma-ray responses like those in underlying and overlying formations. Nomenclature and subdivisions of the Oldman Formation are revised to accommodate this updated understanding, and modifications are also made to the definition of the Judith River-Belly River discontinuity, a newly recognized surface that marks the onset of accommodation and eustatic rise in sea-level in the northern Western Interior Basin at ~76.3 Ma.","2024","2024-08-15 08:09:33","2024-08-15 08:09:33","","","","1 January","19","","PLoS ONE","","","","","","","","English","","","Embase","","","","","","","http://dx.doi.org/10.1371/journal.pone.0292318","article; nonhuman; Alberta; environment; geometry; nomenclature; dinosaur; fossil; Cretaceous; Campanian; gamma radiation; geographic and geological phenomena; geology; plains; river; sedimentology; stratigraphic model; vertebrate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MN6QZNQY","journalArticle","2024","Boisvert, C.; Curtice, B.; Wedel, M.; Wilhite, R.","Description of a new specimen of Haplocanthosaurus from the Dry Mesa Dinosaur Quarry","Anatomical Record","","1932-8494","10.1002/ar.25520","https://www.embase.com/search/results?subaction=viewrecord&id=L2030246463&from=export","A new specimen of Haplocanthosaurus is described based on bones excavated from the Late Jurassic Dry Mesa Dinosaur Quarry near Delta, Colorado. The specimen consists of seven dorsal vertebrae and a right tibia and is identified as Haplocanthosaurus based on the dorsally angled transverse processes, tall neural arch peduncles, low parapophyses relative to the diapophyses in the posterior dorsal vertebrae, and the robustness of the tibia combined with a greatly expanded distal articular surface. The discovery adds to our understanding of the biostratigraphy of Haplocanthosaurus, showing this genus is definitively present in the Brushy Basin Member of the Morrison Formation, and making this individual the geologically youngest Haplocanthosaurus specimen on the Colorado Plateau. The identification of this genus adds to the known diversity of sauropods at Dry Mesa Dinosaur Quarry (DMDQ), which is at least six distinct genera, making DMDQ the most diverse single locality of sauropods in the Morrison Formation and the world.","2024","2024-08-15 08:09:33","2024-08-15 08:09:33","","","","(Boisvert C.) Brigham Young University, Provo, UT, United States","","","Anat. Rec.","","","","","","","","English","","","Embase","","","","","","","http://dx.doi.org/10.1002/ar.25520","article; nonhuman; tibia; dinosaur; biostratigraphy; Colorado; transverse process; Upper Jurassic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
